FG time = 3605	BG time = 505.405
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0.000277392	0
95	0.00110957	0
105	0.00221914	0
115	0.00610263	0
125	0.00943134	0.00197861
135	0.00943134	0.00197861
145	0.0163661	0
155	0.0152566	0.00197861
165	0.0160888	0.00395722
175	0.0183079	0
185	0.0158114	0
195	0.0169209	0.00593583
205	0.0152566	0
215	0.020527	0
225	0.0174757	0.00197861
235	0.0149792	0
245	0.0147018	0
255	0.0185853	0
265	0.0144244	0
275	0.0130374	0
285	0.00859916	0.00395722
295	0.0119279	0
305	0.00998612	0
315	0.0119279	0
325	0.00970873	0
335	0.00776698	0
345	0.00776698	0
355	0.0102635	0
365	0.0072122	0
375	0.00693481	0
385	0.00582524	0
395	0.00832177	0
405	0.00748959	0
415	0.00693481	0.00197861
425	0.00443828	0
435	0.00443828	0
445	0.00582524	0
455	0.00582524	0
465	0.00527045	0
475	0.00277392	0
485	0.00443828	0
495	0.00388349	0
505	0.00416088	0
515	0.00221914	0
525	0.00110957	0
535	0.00110957	0
545	0.00221914	0
555	0.00249653	0
565	0.00110957	0
575	0.00277392	0
585	0.00277392	0
595	0.000554785	0.00197861
605	0.00194175	0
615	0.000554785	0
625	0.000554785	0
635	0.000832177	0
645	0.000554785	0
655	0	0
665	0.000554785	0
675	0.000277392	0
685	0.00166435	0
695	0.000554785	0
705	0.00110957	0
715	0.000277392	0
725	0.000554785	0
735	0	0
745	0	0.00197861
755	0.000277392	0
765	0.000277392	0
775	0	0
785	0.000554785	0
795	0.000554785	0
805	0	0
815	0	0
825	0.000277392	0
835	0	0
845	0.000554785	0
855	0	0
865	0	0
875	0.000832177	0
885	0.000277392	0
895	0	0
905	0.000277392	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0.000277392	0
995	0	0
1005	0	0
1015	0.000277392	0
1025	0	0
1035	0	0
1045	0.000277392	0
1055	0	0
1065	0.000277392	0
1075	0	0
1085	0	0
1095	0.000277392	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0.000277392	0
1155	0	0
1165	0	0
1175	0	0
1185	0.000277392	0
1195	0	0
