FG time = 3420.37	BG time = 486.701
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0.000292366	0
125	0.00204656	0
135	0.00146183	0
145	0.00146183	0
155	0.00350839	0
165	0.00438549	0
175	0.00584732	0
185	0.00526259	0
195	0.00584732	0
205	0.00584732	0
215	0.00701679	0
225	0.00906335	0
235	0.0111099	0
245	0.00935572	0
255	0.0128641	0
265	0.00935572	0
275	0.0131565	0
285	0.0111099	0
295	0.0143259	0
305	0.0143259	0
315	0.00701679	0
325	0.0111099	0
335	0.0140336	0
345	0.0116946	0
355	0.0108175	0
365	0.0111099	0
375	0.0122794	0
385	0.00964808	0
395	0.0154954	0
405	0.011987	0
415	0.0122794	0
425	0.00847862	0
435	0.00906335	0
445	0.00964808	0
455	0.00935572	0
465	0.0105252	0
475	0.00760152	0
485	0.00789389	0
495	0.00730915	0
505	0.00701679	0
515	0.00847862	0
525	0.00906335	0
535	0.00438549	0
545	0.00380076	0
555	0.00438549	0
565	0.00438549	0
575	0.00497022	0
585	0.00409313	0
595	0.00467786	0
605	0.00292366	0
615	0.00497022	0
625	0.00146183	0
635	0.00292366	0
645	0.00292366	0
655	0.000877098	0
665	0.00146183	0
675	0.00233893	0
685	0.0017542	0
695	0.00204656	0
705	0.000584732	0
715	0.000584732	0
725	0.000877098	0
735	0.0017542	0
745	0.000584732	0
755	0.000292366	0
765	0.000292366	0
775	0	0
785	0.000292366	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0.000292366	0
845	0.000292366	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
