FG time = 3005.49	BG time = 485.752
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000332725	0
135	0.000665449	0
145	0.000665449	0
155	0.000665449	0
165	0.000998174	0
175	0.00166362	0
185	0.0026618	0
195	0.00199635	0
205	0.00299452	0
215	0.00166362	0
225	0.00332725	0
235	0.00332725	0.00205866
245	0.00332725	0
255	0.00365997	0.00205866
265	0.00332725	0
275	0.00499087	0
285	0.00432542	0
295	0.00665449	0
305	0.0026618	0.00205866
315	0.00365997	0
325	0.0039927	0.00205866
335	0.00465815	0
345	0.00465815	0
355	0.0053236	0
365	0.00465815	0
375	0.00499087	0
385	0.0053236	0
395	0.0053236	0
405	0.00698722	0
415	0.00499087	0
425	0.00332725	0
435	0.0053236	0
445	0.00565632	0
455	0.00499087	0
465	0.00332725	0
475	0.0039927	0.00205866
485	0.00499087	0.00205866
495	0.00499087	0
505	0.00299452	0
515	0.0039927	0
525	0.00166362	0.00205866
535	0.0026618	0
545	0.00465815	0
555	0.00465815	0
565	0.0026618	0
575	0.00232907	0.00205866
585	0.00299452	0
595	0.0013309	0
605	0.0026618	0
615	0.0026618	0
625	0.000998174	0.00205866
635	0.00199635	0
645	0.00232907	0
655	0.0013309	0
665	0.00166362	0
675	0.000665449	0
685	0.000665449	0
695	0.000998174	0.00205866
705	0.000332725	0.00205866
715	0.00199635	0.00205866
725	0.0013309	0
735	0.00166362	0
745	0.000665449	0.00205866
755	0.000332725	0
765	0.0013309	0.00205866
775	0.000332725	0
785	0.000665449	0
795	0.000332725	0
805	0.000665449	0
815	0.000998174	0.00205866
825	0.000665449	0
835	0	0
845	0	0
855	0	0
865	0.000665449	0.00205866
875	0.000332725	0.00205866
885	0.000332725	0.00205866
895	0	0
905	0.000332725	0
915	0.00166362	0
925	0.000998174	0
935	0.000998174	0
945	0.000998174	0
955	0	0
965	0.0013309	0
975	0.000665449	0
985	0.000665449	0
995	0.000665449	0.00205866
1005	0.000332725	0
1015	0.000332725	0
1025	0.000998174	0.00411733
1035	0.000665449	0
1045	0.0013309	0.00205866
1055	0.000665449	0
1065	0.000332725	0
1075	0.000332725	0
1085	0.000665449	0.00205866
1095	0.000332725	0
1105	0	0.00205866
1115	0.000332725	0
1125	0.000332725	0
1135	0	0
1145	0.000998174	0
1155	0.000998174	0
1165	0.000665449	0
1175	0.000998174	0
1185	0.000665449	0
1195	0.00166362	0.00205866
