FG time = 2229	BG time = 483.026
5	0	0
15	0	0
25	0	0
35	0.000448632	0
45	0	0
55	0.000448632	0
65	0	0
75	0	0
85	0.000897265	0
95	0.00269179	0
105	0.00269179	0
115	0.00493496	0
125	0.00672949	0
135	0.00852401	0
145	0.0112158	0
155	0.00942128	0.00207028
165	0.013459	0
175	0.00852401	0
185	0.0121131	0
195	0.017048	0
205	0.00897265	0.00207028
215	0.0125617	0
225	0.00897265	0.00207028
235	0.0125617	0
245	0.0103185	0
255	0.0116644	0.00207028
265	0.0107672	0.00207028
275	0.00538359	0
285	0.013459	0
295	0.00942128	0
305	0.0125617	0
315	0.00672949	0
325	0.00807538	0
335	0.00986991	0.00207028
345	0.0112158	0
355	0.00583222	0
365	0.00628085	0
375	0.00403769	0.00207028
385	0.00717812	0
395	0.00672949	0
405	0.00628085	0
415	0.00538359	0
425	0.00493496	0
435	0.00807538	0
445	0.00269179	0
455	0.00403769	0
465	0.00493496	0
475	0.00538359	0
485	0.00358906	0
495	0.00358906	0
505	0.00224316	0
515	0.00314043	0
525	0.00269179	0
535	0.00314043	0
545	0.000897265	0
555	0.00269179	0
565	0.0013459	0
575	0.000897265	0
585	0.0013459	0
595	0.00314043	0
605	0.00179453	0
615	0.000448632	0
625	0.00179453	0
635	0.000448632	0
645	0.000897265	0
655	0.000897265	0
665	0.000897265	0
675	0.000897265	0
685	0	0
695	0.000448632	0
705	0	0
715	0.000448632	0
725	0	0
735	0.000897265	0
745	0	0
755	0	0
765	0.000897265	0
775	0	0
785	0	0
795	0.0013459	0
805	0	0
815	0	0
825	0.000448632	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0.000448632	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0.00207028
1105	0.000448632	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0.000448632	0
1195	0.000448632	0
