FG time = 3611.89	BG time = 485.917
5	0	0
15	0	0
25	0	0
35	0.000276864	0
45	0.000830591	0
55	0.00110745	0
65	0.000276864	0
75	0.00138432	0
85	0.00359923	0
95	0.00359923	0
105	0.00332236	0
115	0.00553727	0
125	0.00636786	0
135	0.00719846	0
145	0.00581414	0
155	0.00775218	0
165	0.00553727	0
175	0.00830591	0
185	0.00692159	0
195	0.00775218	0
205	0.00996709	0
215	0.00747532	0
225	0.00830591	0
235	0.00636786	0
245	0.00885964	0
255	0.00636786	0
265	0.00442982	0
275	0.00719846	0
285	0.006091	0
295	0.00498355	0.00205796
305	0.00470668	0
315	0.00581414	0
325	0.00526041	0
335	0.0030455	0
345	0.00692159	0
355	0.006091	0
365	0.0030455	0
375	0.00553727	0.00205796
385	0.00526041	0
395	0.0030455	0
405	0.0030455	0
415	0.00193805	0
425	0.0030455	0
435	0.00415296	0
445	0.00166118	0
455	0.00249177	0.00205796
465	0.00249177	0
475	0.00138432	0
485	0.00110745	0
495	0.00110745	0.00205796
505	0.00193805	0
515	0.00110745	0
525	0.00249177	0.00205796
535	0.00138432	0
545	0.000276864	0
555	0.00166118	0
565	0.000553727	0
575	0.00138432	0
585	0.00193805	0
595	0.000553727	0
605	0.000553727	0
615	0.00110745	0
625	0.000276864	0
635	0.000276864	0
645	0.000276864	0
655	0.000830591	0
665	0.000276864	0
675	0.00138432	0
685	0	0
695	0	0
705	0.000276864	0
715	0.000276864	0
725	0.000276864	0
735	0.000276864	0
745	0	0
755	0.000276864	0
765	0	0
775	0	0
785	0	0
795	0	0
805	0.000276864	0.00205796
815	0	0
825	0.000276864	0
835	0	0.00205796
845	0	0
855	0	0.00205796
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0.00205796
935	0.000276864	0
945	0	0
955	0.000276864	0
965	0.000276864	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0.000553727	0
1025	0	0
1035	0.000276864	0
1045	0.000276864	0
1055	0	0
1065	0	0
1075	0.000553727	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0.00205796
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
