Ce 17871 -0.858 -4.56
Ce 17872 -2.066 -7.052
Ce 17873 1.25 -2.513
Sn 17873 0.584 -3.49
Ce 17874 0.432 -2.127
Sn 17874 1.597 -0.883
Ce 17875 -0.181 -0.688
Sn 17875 1.444 3.444
Ce 17876 -1.806 0.525
Sn 17876 0.898 1.706
Bi1 17876 -0.662 -5.176
Bi2 17876 0.97 -5.989
Ce 17877 -1.691 -2.01
Sn 17877 -0.71 0.018
Bi1 17877 -0.257 -7.327
Bi2 17877 -0.944 -7.669
Sn 17878 -1.216 2.858
Bi1 17878 -1.345 -3.124
Bi2 17878 -0.994 -6.081
Sn 17879 0.571 0.406
Bi1 17879 -0.3 -0.746
Bi2 17879 -1.201 -1.775
Bi1 17880 2.291 2.079
Bi2 17880 2.125 -0.095
Bi1 17881 -2.778 2.645
Bi2 17881 -4.75 1.094
Bi1 17887 0.904 0.962
Bi2 17887 -0.335 0.262
Bi1 17888 5.127 1.685
Bi2 17888 2.629 3.431
Sn 17889 4.315 3.167
Bi1 17889 2.304 0.712
Bi2 17889 1.154 -0.925
Sn 17890 3.015 4.704
Bi1 17890 0.503 1.205
Bi2 17890 0.248 0.007
Ce 17892 -1.772 1.509
Sn 17892 2.267 2.261
Bi1 17892 2.935 -8.538
Bi2 17892 0.069 -4.136
Ce 17893 -2.056 0.893
Sn 17893 -2.125 4.161
Bi1 17893 -1.047 -5.53
Bi2 17893 -1.045 -4.598
Ce 17894 -1.57 -0.397
Sn 17894 2.968 2.752
Bi1 17894 -14.337 -6.592
Bi2 17894 -8.828 0.409
Ce 17895 -1.68 -2.261
Sn 17895 0.715 -2.012
Ce 17896 -1.076 -1.965
Sn 17896 -1.837 -3.278
Ce 17897 -0.925 -2.02
Ce 17898 -0.639 -4.14
Ce 17899 -1.53 -4.265
Ce 17900 -1.628 -1.86
Ce 17901 -1.267 -1.234
Sn 17901 -0.12 -1.094
Ce 17902 -2.053 0.445
Sn 17902 2.856 0.181
Ce 17903 0.349 0.679
Sn 17903 1.182 4.669
Bi1 17903 -4.593 -6.523
Bi2 17903 -3.006 -4.405
Ce 17904 -1.244 2.508
Sn 17904 2.87 0.285
Bi1 17904 2.515 -8.265
Bi2 17904 -1.574 -5.726
Sn 17905 4.396 2.883
Bi1 17905 1.344 3.519
Bi2 17905 -3.551 1.754
Sn 17906 0.228 3.388
Bi1 17906 1.724 -2.096
Bi2 17906 -0.414 -3.306
Sn 17907 -6.774 -3.108
Bi1 17907 4.485 1.791
Bi2 17907 0.396 -0.593
Bi1 17908 -6.595 1.447
Bi2 17908 -6.501 0.46
Bi1 17909 -12.514 -11.794
Bi2 17909 -10.667 -6.971
Bi1 17913 -3.322 0.842
Bi2 17913 -4.253 -0.554
Bi1 17914 1.5 -0.19
Bi2 17914 -1.712 -2.039
Sn 17915 -1.732 2.325
Bi1 17915 -0.69 -0.393
Bi2 17915 -2.238 -2.164
Sn 17916 1.723 2.532
Bi1 17916 -1.24 -3.431
Bi2 17916 -3.92 -4.488
Ce 17917 -0.453 0.157
Sn 17917 -0.504 0.706
Bi1 17917 -2.592 -9.32
Bi2 17917 -2.661 -8.003
Ce 17918 1.545 -0.454
Sn 17918 -0.376 2.586
Bi1 17918 -4.12 -9.295
Bi2 17918 -3.082 -5.662
Ce 17919 -1.287 -1.26
Sn 17919 1.64 -0.923
Ce 17920 -0.477 -1.861
Sn 17920 -0.089 -0.033
Ce 17921 -0.031 -3.079
Ce 17922 -2.078 -4.546
